Job Title,Job Description
Java Developer,"Job Title: Java Developer
Experience: Senior (6+ Years) - 4 Numbers & Architect (10+ Years) - 2 Numbers
Location: Coimbatore-641012
Notice Period: Immediate or 15 days
Requirements:
Bachelor’s degree in Software Engineering or Computer Science.
Previous work experience as a Software or Java Architect.
Advanced knowledge of software architecture.
Proficiency with Java, Java Beans, Java Servlets, and JavaScript.
Experience with the design and implementation of software networks.
Experience with software design and web programming.
High-level project management skills.
Ability to solve complex software system issues.
Good communication skills.
Job Type: Full-time
Salary: ₹1,200,000.00 - ₹2,500,000.00 per year
Schedule:
Day shift
Morning shift
Experience:
Java: 4 years (Preferred)
Education:
Bachelor's (Preferred)"
Database Administrator,wilshire associate incorporated global investment advisory firm offer customized institutionally based solution meet investment need client wilshire fund management wfm division wilshire associate incorporated dedicated provide customized investment solution area asset allocation manager research portfolio construction risk management seeking identify senior database developer join operation technology team successful candidate responsible analysis design developing complex system application portfolio management process individual involved aspect project life cycle includes design programming testing implementation maintenance documentation she/he provide support business system developing maintaining enhancing existing web client based application re-engineering program conform system change solving complex customer third party data key responsibility database installation upgrading database management tuning monitoring performance database optimization database backup recovery restoration process implementation administration user database permission creation technical documentation desired skill background bachelor advanced degree computer science 0-3 year experience programming experience transact sql sql server knowledge sql server 2008/2014/2017 knowledge microsoft ssms ssrs ssis experience implementing maintaining tuning deploying development production environment experience creating table view stored procedure function concept database system security principle practice database administration dba principle practice research methodology data analysis etl data analysis experience offer international dynamic entrepreneurial work environment competitive compensation package including bonus opportunity 3 week vacation 8 paid holiday per year 401 k /roth 401 k /medical/dental/vision & life insurance visit www.wilshire.com additional company information wilshire associate incorporated equal opportunity employer minority/female/disability/veteran wilshire associate incorporated sec registered investment adviser required track certain political contribution rule 206 4 -5 may required disclose prior political contribution phone call required skill required experience
DevOps Engineer,"Ability to stay organized while multitasking in a fast paced environment
Ability to manage multiple projects with shifting requirements, dates, and priorities
Ability to coordinate and communicate with teams in multiple time zones globally
Fast paced self-directed learner able to pick up and master new technologies on the fly
DNS Subject matter expert
Atleast 5+ years experience administering enterprise BIND instances on large scale
Thorough operational understanding of DNS-sec
DNS troubleshooting and monitoring experience
Atleast 5+ years load balancer administration experience
Should have 8+ years Linux system administration experience
Python scripting experience
automation tooling, Terraform and Ansible
consuming REST APIs
Experience using configuration management tools such as puppet/ansible/chef/terraform to manage large fleet of servers
Enterprise monitoring experience such as LogicMonitor, Zabbix, icinga, or Splunk
Experience in 24x7 support role with oncall rotation"
Machine Learning,"About Us:
CareerNinja is building a personalised & experiential learning platform to make high-quality learning accessible at a mass global scale. It is revolutionising the way youth kickstart & upgrade their career. At the core of it is a unique adaptive learning product with an exclusive technology which enables course creation with 1/10th the effort & cost.
*
Why Work With Us:
Being an education organisation, we take your growth seriously. Working with us could be your best decision if you're looking for learning, wide exposure & looking to be in the driving seat of what you do. You will be given real responsibilities, freedom to make decisions and come up with ideas and work closely with the founder and the core team, all in a flexible, casual and young (everyone under 28) work environment.
Work from home(even without Covid), flexible work, free snacks, etc are just a regular part of our work life.
Machine Learning Engineer
We are looking for an expert in Data Engineering, Machine Learning, Deep Learning and NLP. You will lead all the processes from R&D, data collection, cleaning, and preprocessing, to training models and deploying them to production. The ideal candidate will be passionate about artificial intelligence and stay up-to-date with the latest developments in the field. Most of our work revolves around text data so we need a candidate who has proven expertise in recent advancements in the field of NLP.
Responsibilities:
Data Collection and Curation.
Select appropriate annotated datasets for Supervised Learning methods.
Use effective text representations to transform natural language into useful features.
Find and implement the right algorithms and tools for NLP tasks.
Develop ML/DL/NLP models according to requirements.
Train the developed model and run evaluation experiments.
Perform statistical analysis of results and refine models.
Extend ML libraries and frameworks to apply in NLP tasks.
Building recommendation engines to increase the personalization of content for the user.
Testing and deployment of models on cloud services i.e. AWS/GCP etc.
Act as a bridge between product and engineering team to translate product requirements into the technical solutions.
Stay updated and use industry best practices and latest technology trends.
Prototype ideas rapidly using cutting edge technologies, drive architecture discussions, and proposes solutions to system and product changes.
Requirements:
Bachelors or higher degree in Computer Science or related technical field.
2+ years of work experience in NLP, Machine Learning, Deep Learning and Data Science.
Strong experience in developing, deploying and monitoring large scale models in production environments from scratch.
Deep understanding and working knowledge of frameworks like PyTorch/TensorFlow/Keras.
Strong Exposure to at least 1-2 state of the art NLP algorithms e.g GPT, BERT, T5, RoBERTa, Hugging Faces etc.
Deep understanding of NLP techniques for text representation, semantic extraction techniques, data structures and language modelling.
Experience with NLP libraries and technologies including Spacy, NLTK, Gensim, Stanford NLP etc.
Proficiency with Python and basic libraries for machine learning such as Numpy, Scikit-learn and pandas.
Exposure to DL Model optimisation and transfer learning technique.
Experience of cloud environment AWS/GCP, Hadoop/Spark, SQL is a plus.
Experience with technologies like Docker, Kubernetes, CI/CD, Git is a plus.
Experience with ML Ops is a plus.
A team player who can work independently too.
Excellent written and verbal communication skills.
Multi-tasking and time-management skills, with the ability to prioritize tasks.
*
Job Type: Full-time
Salary: ₹800,000.00 - ₹1,500,000.00 per year
Experience:
Machine Learning: 2 years (Required)
work: 3 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
Backend Developer,"We are looking for an analytical, results-driven Back-end Developer who will work with team members to troubleshoot and improve current back-end applications and processes. The Back-end Developer will use his or her understanding of programming languages and tools to analyze current codes and industry developments, formulate more efficient processes, solve problems, and create a more seamless experience for users. You should have excellent communication, computer, and project management skills.
To succeed as a Backend Developer, you should be focused on building a better, more efficient program and creating a better end-user experience. You should be knowledgeable, collaborative, and motivated.
Back-end Developer Responsibilities:
Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement.
Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.
Developing ideas for new programs, products, or features by monitoring industry developments and trends.
Recording data and reporting it to proper parties, such as clients or leadership.
Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.
Taking lead on projects, as needed.
Back-end Developer Requirements:
Bachelor’s degree in computer programming, computer science, or a related field.
More education or experience may be required.
Fluency or understanding of specific languages, such as Java, PHP, or Python, and operating systems may be required.
Strong understanding of the web development cycle and programming techniques and tools.
Focus on efficiency, user experience, and process improvement.
Excellent project and time management skills.
Strong problem solving and verbal and written communication skills.
Ability to work independently or with a group.
Willingness to sit at desk for extended periods.
Application Deadline: 15/11/2020
Job Type: Full-time
Salary: From ₹25,000.00 per month
Experience:
Programming: 1 year (Preferred)
work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
Machine Learning,"Location: Bangalore
Experience: 4 to 5 year
Educational Qualification: B.E/B.Tech preferred. Shouldn’t matter if you are great in coding and math.
Essential Job Functions:
The job involves being part of the Research team working to continuously improve Radware Bot Manager’s bot detection engine. The Research Engineer’s role involves exploration and evaluation of different bot detection solutions and then productionalize it.
Job Requirement:
Experience with cloud-based ML service.
R&D to enhance Radware Bot Manager’s bot-human classification engine focusing on novel use cases.
Guide and collaborate with team members on continuous improvement of the bot detection logic.
Work with Engineering and Data Science/Data Analysis teams closely to identify challenges and to also build the solution for scalable deployment.
If you think you’d fit this role at Radware! Please send your resume to botmanager_careers@radware.com"
JavaScript Developer,"Technology :
Significant experience building frontend applications.
Thorough understanding of React.js and its core principles
Provided solid markup skills in utilizing HTML5, CSS3, JavaScript, and jQuery
Experienced with technologies such as: React JS, JavaScript Frameworks , JSON, AJAX and Bootstrap
Proficiency with JavaScript(ES6), CSS, HTML5, ReactJS, Redux, jQuery, Nodejs.
Experience with data structure libraries (e.g., Immutable.js)
Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model
Protocols :
Excellent understanding of common web services protocols e.g. HTTPS, HTTP, JSON, & REST
Experience with RESTful APIs & API Security
Knowledge of modern authorization mechanisms, such as JSON Web Token
UX Design :
Ensure the technical feasibility of UI/UX design
Experience with designing user interfaces and enterprise dashboards.
Experience converting a define UX Mockup to UI Delivery
Design Pattern :
Design, develop user interfaces using JavaScript design patterns, supporting MVC frameworks.
Basic understanding of how back-end development works.
Knowledge of designing mark up, developing the UI of websites and/or web applications
Demonstrated understanding of UX and UI design with an emphasis on maximizing usability
Knowledge of using REST web services and working with interface design
Familiarity of Backend Driven UI approach.
Familiarity of UI Design Patterns.
Deep understanding of Development intricacies of multiple platforms, devices and layouts.
Very strong in object-oriented concepts & design patterns.
Development Process :
Familiarity with modern front-end build pipelines and tools
Familiarity with code versioning tools. (i.e. Git)
Demonstrable abilities to optimize code. Focus on quality & ability to perform code reviews.
Ability to guide & develop other team members on technical front.
Strong analytical skills for effective problem solving.
Experience with test-driven development and frameworks/technologies to test frontend applications.
Strong grasp of functional programming patterns and concepts.

Category : Engineering and Technology
Subcategory: Software Engineering
Experience: Manager and Professional
Full Time/ Part Time: Full Time
Posted Date: 2020-12-10


VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape whats possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law."
Database Administrator,software/systems operation administrator onboard new client hosting infrastructure support client production operation deploying change maintaining hosted infrastructure build maintain qcloud hosted infrastructure hype-v vms window active directory ftp server web server ftp server window fileshares deploy software database change using quorum deployment tool process working quorum support service resource various support task hosted live client environment work software organization troubleshoot application vm resource utilization issue work uphold potentially improve current hosted change management process support audit requirement process sae18/soc1 report implement managed hosted improvement project coordinate offshore team environment creation task deployment change ping monitor alert issue
Full Stack Developer,software developer - authentication remote possible affinity ? affinity privately held national solution consulting firm based milwaukee serve strategic advisor thought leader high- caliber client client employee value approach company “ big enough complex high impact work small enough truly care ” focus hiring motivated intelligent professional passion work desire grow along u visit website learn u exciting thing affinity www.affinityit.com role ? member identity management team collaborate larger software engineering team design develop test software identity access management solution working agile development environment building state art software solution requirement 5+ year experience web service framework and/or technology java spring springboot rest json experience federated identity management fim experience common development practice including ci/cd pipeline test automation agile development etc experience open-source authentication protocol related technology including openid connect oauth2.0 saml experience third-party iam product ca siteminder pingfederate pingidentity product experience back-end full-stack web development experience relational database development related technology experience directory-based technology ldap experience common development practice including ci/cd pipeline test automation agile development distributed version control etc bachelor ’ degree computer science similar field open minded team player ! offer competitive base salary full benefit including full medical dental 401k pto holiday disability life culture collaboration challenging work contemporary emerging technology opportunity high-impact work respected partner entrepreneurial spirit collaborative performance review career planning personalized training career development opportunity advancement apply contact fulfillment team directly ! jane knaus fulfillment leader direct 310.316.3737 jknaus @ affinityit.com make sure follow u linkedin company page new job posting http //www.linkedin.com/company/265359/
Machine Learning,"Position Title
Data Scientist

01-Oct-2020

Job ID
303875BR

Job Description
Novartis Business Services IT (NBS IT) is working to support Novartis to deliver better patient outcomes through innovative use of information and technology. As technology is reshaping the healthcare industry, IT will be a differentiator for our businesses, inspiring new ideas and enabling Novartis to reimagine medicine.
To continue to add even greater value for the business we need to have the right people with the right capabilities.
We need to be customer-oriented and focus on bringing the best services and solutions to the business – both globally and locally – to support our patients.
NBS IT offers this extraordinary work experience with a real opportunity to develop in a highly fast-paced technology-driven environment where collaboration and innovation are at the heart of who we are and what we do.
Science, innovation & technology are central to the Novartis mission of caring & curing patients. We have a clear understanding and deep commitment that IT will be a critical factor in our future success.

•Collaborate in multi-functional teams to evaluate business activities, and then develop innovative and effective approaches to seek team’s analytics problems and communicate results and methodologies.
•Ability to initiate and drive projects from conception to completion with minimal direction.
•Innovates and recommends sophisticated predictive analytics, computational science, Natural Language Processing (NLP), machine learning and deep learning techniques to answer research questions and synthesize insights that achieve business objectives.
•Establishes scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation. Works to translate prototypes into new products, services, and features and provide guidelines for large-scale implementation.
•Ability to build and fine tune algorithms that scale up from small-scale proof-of-concept stage to full production systems.
•Build knowledge artifacts of business problems that were solved with sophisticated analytics techniques which can be published in journals. Excellent quantitative skills and the ability to tell a story using data

Minimum requirements
•PhD. or Masters from top University in Statistics, Operational Research, Computer Science or in a quantitative field.
•SQL, Python, R, Scala, Tensor Flow, Pytorch are Mandatory Qlikview/Tableau/Spotfire but not limited to these are good to have
•2+ years after PHD or 5+ years after Masters
•In predictive modeling and large data analysis
•In data querying languages (e.g. SQL), scripting languages (e.g. Python, R, Scala), or deep learning libraries (e.g. tensorflow, pytorch).
•Expertise in at-least some visualization tools such as Qlikview, Spotfire, Tableau (but not limited to these) for designing insights is good to have

Why consider Novartis?

799 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

Job Type
Full Time

Country
India

Work Location
Hyderabad, AP

Functional Area
Data Science

Division
NBS

Business Unit
IT NBS

Employment Type
Regular

Company/Legal Entity
Nov Hltcr Shared Services Ind

Shift Work
No"
Wordpress Developer,"Exposure on Wordpress CMS, JavaScript/ jQuery.
Good experience with PHP 5+ and MySQL.
Focused on Object-Oriented Programming (OOP)
Having knowledge of LAMP, Version Control(GIT), Hosting
Good knowledge of XML, XHTML, CSS, Modules i.e. API integration, Payment Gateways, XML with a focus on standards.
Knowledge of Custom Wordpress plugin development, And Theme Customization.

Experience: 2 to 5 Years

Qualification: Any"
Software Engineer,"Vista Equity Partners is the world's leading private equity firm for Enterprise Software and recently invested $1.5B in the Reliance Jio Digital Platform. As part of the Vista portfolio, Integral Ad Science (IAS) is a NYC-headquartered global technology and data company that builds verification, optimization, and analytics solutions for the advertising industry. We are looking for a Java Software Engineer to join our new and fast-growing R&D team in Pune. If you are excited by technology that has the power to handle hundreds of thousands of transactions per second; collect tens of billions of events each day; and evaluate thousands of data-points in real-time all while responding in just a few milliseconds, then IAS is the place for you!

As a Software Engineer you will build and expand upon the IAS reporting framework and UI for IAS' analytics and reporting software products. You will integrate reports and dashboards into the IAS UI platform and implement critical features in our custom report builder tool using state of the art technologies and tools.

The ideal candidate has a passion for data analytics and back-end development.

What you'll do:
Design and develop critical features in our microservice technology stack
Integrate with 3rd party APIs and services
Design and develop back end Java services and components in our world class custom report builder
Participate in agile meetings and daily stand ups
Work closely with Product teams and other cross-functional teams
You should apply if you have most of this experience:
3-5+ years of recent experience with back end software development
Experience with Java, Groovy, and SQL
Experience with persistence APIs such as Hibernate
Strong understanding of REST and microservice architectures and systems
Experience with build tools such as Gradle and Maven
A strong passion for Test Driven Development
Experience or understanding of AWS services such as EC2, S3, Lamba, and SQS
Understanding of full software development life cycle, agile development and continuous integration
About Integral Ad Science

Integral Ad Science (IAS) is the global market leader in digital ad verification, offering technologies that drive high-quality advertising media. IAS equips advertisers and publishers with both the insight and technology to protect their advertising investments from fraud and unsafe environments as well as to capture consumer attention, and drive business outcomes. Founded in 2009, IAS is headquartered in New York with global operations in 18 offices across 13 countries. IAS is part of the Vista Equity Partners portfolio of software companies. For more on how IAS is powering great impressions for top publishers and advertisers around the world, visit integralads.com.

Equal Opportunity Employer:

IAS is an equal opportunity employer, committed to our diversity and inclusiveness. We will consider all qualified applicants without regard to race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age. We strongly encourage women, people of color, members of the LGBTQIA community, people with disabilities and veterans to apply.

California Applicant Pre-Collection Notice:

We collect personal information (PI) from you in connection with your application for employment or engagement with IAS, including the following categories of PI: identifiers, personal records, commercial information, professional or employment or engagement information, non-public education records, and inferences drawn from your PI. We collect your PI for our purposes, including performing services and operations related to your potential employment or engagement. For additional details or if you have questions, contact us at compliance@integralads.com.

To learn more about us, please visit http://integralads.com/ and https://muse.cm/2t8eGlN

Attention agency/3rd party recruiters: IAS does not accept any unsolicited resumes or candidate profiles. If you are interested in becoming an IAS recruiting partner, please send an email introducing your company to recruitingagencies@integralads.com. We will get back to you if there's interest in a partnership."
Node js developer,"Objective:
Candidates can look forward to opportunity for software development and engineering as a role in mission-critical software development team including:
Responsibilities :
understanding mission-critical telecom software requirements;
assisting in design and engineering;
determining project deliverables;
full stack software development;
engineering back end applications;
front end application development;
deliveries as per project milestones.
Skills/Experience:
understanding and experience of telecom standards preferred;
experience on SIP, telephony stack development;
Good communication skills;
A keen grasp of information technology;
Professional demeanor;
Personal accountability and strong work ethic;
Professional, able to interact with vendors/clients;
Positive, “can do” attitude.
Qualification:
B.E. / B.Tech. / B.Sc / B.Eng
B. IT / B.Sc [IT]
Job Type: Full-time
Salary: ₹20,000.00 - ₹35,000.00 per month
Schedule:
Flexible shift
Morning shift
Experience:
node.js: 2 years (Required)
Work Remotely:
No"
Machine Learning,"We are looking for a Machine Learning (ML) Engineer to help us improve the current products. Your ultimate goal will be to shape and build efficient self-learning applications.

Key Responsibilities:

Identify key variables, parameters and elements defining a problem or its solution.
Research and develop innovative, scalable and dynamic solutions to hard problems
Select appropriate data sets and data representation models
Run machine learning tests and experiments
Perform statistical analysis and fine tuning using test results
Scale the machine learning infrastructure for speed and performance
Keep abreast of developments in the field

Knowledge, Skills & Experience:

4+ years of Experience with Machine Learning or similar role
Ability to come up with the best model that would solve the problem at hand and develop and tune that model
Can apply probability models and machine learning approaches to solving complex problems
Strong coding skills with ability to write high performance code in Java/Python/R
Have experience using machine learning libraries or platforms
Strong understanding of data structures, data modelling and software architecture
Experience building scalable, sound architectures and reliable, high performance back-end services that work amazingly well in the complex real world as well as stand the test of time.
Deep knowledge on mathematics, statistics and data analysis Outstanding analytical and problem solving skills"
Wordpress Developer,"Wordpress CMS Web Developer

Experience in WordPress core, library, plug-ins and templates . And/or experience implementing CMS-based web sites and applications such as Drupal, Sharepoint and others.
Knowledge in JavaScript , HTML and CSS specifically for customization of WordPress sites .
Implementing WordPress templates and plug-ins using WordPress development , including the ability to use cutting edge WP Plugins or themes , and make them work properly in all environments while overcoming basic conflicts with popular themes.
What You Need for this Position
You should have knowledge of:
JavaScript
CSS
HTML5
WordPress and CMS
Aditional
No. of Positions
Education level
Career level
Fresher"
Node js developer,"Title: Node Js Developer
Exp: 3+ Years
Location: Hyderabad

JD:
3+ Years experienced in software Developing with exposure in Node JS.
Creating respective design documents for development.
Having knowledge in JavaScript
Expertise in preparing Unit Test Cases, Test Data and executing the same.
Hands on experience in peer reviews of code.
Handling Team meetings, daily status meetings, client meetings.
Handling daily/weekly/month status reports.
Received several appreciations from clients and management for my ability to work around different projects with ease.
Good understanding of different software development processes."
Database Administrator,overview worldventures dynamic global member-based travel company currently looking sr database administrator join tech ops team corporate headquarters plano tx sr. dba responsible owning resolving complex issue completion well providing operational database administration service enterprise work closely ops engineering manage internal external database system responsibility collaborate developer process owner stakeholder identify interpret document business requirement engineer implement solution aws rds ec2 primarily via sql couchbase ownership lifecycle administration multiple stack web bi etc environment prod sub-prod resolve system issue track incident ensure successful backup monitor automated job enhance system availability / resiliency identify resolve performance bottleneck provide database design query/stored proc design etl process analysis platforms/systems/services identify area feature enhancement performance tuning query rewrite stability / availability improvement various platform sql postgres couchbase etc provide detailed monitoring alerting support database related system assist integration various platform service qlikview exigo implement upgrade enhancement fix following change management procedure maintain technical standard security compliance system documentation duty assigned qualification deep understanding 7+ year ’ experience administering sql server 2012 2017 production environment hands-on experience performing incident resolution tuning integration migration automation stored procedure agent job ability work independently ability accountable issue way resolution mcdba mcse data platform similar certification/degree excellent written verbal skill ability make work process visible knowledge nosql preferably couchbase openness platform history working developer .net environment appreciated experience couchbase dynamic ax qlikview exigo redshift worldventures privately held company based plano texas active representative member 28 country worldventures proudly offer competitive salary benefit including limited medical dental vision life / ad & ; fsa 401k robust vacation holiday package addition full time employee automatically receive worldventures membership cost allow employee access exclusive dreamtrips group travel experience
Java Developer,"Founded in 2006 as a workforce strategy consultancy, Brightfield has been an advisor to the world’s largest companies looking to build, expand, or optimize extended (non-employee) workforce programs. Brightfield has built a suite of proprietary AI-augmented analytics tools powered by $300Bn in extended workforce spend that clients use to optimize the cost, productivity, and risk dimensions of their workforces.

We are seeking a senior software developer with demonstrated experience with full stack Java and web-services development with an interest or focus on front-end development using React. We use an Agile development environment, working on state-of-the-art modeling and machine-learning. Work is delivered in monthly sprints with retrospectives for continuous improvement.

Required Qualifications:
At least 5 years of full stack Java or equivalent language development experience
At least 1+ year experience with React or Angular.js is strongly preferred
Experience with AJAX and Javascript, jQuery
At least 2-3 years of experience with SQL/Relational Databases
Experience with relational databases, must be able to query data
Experience in Windows and Linux environments
Rock star ability with Javascript, jQuery or related frameworks. OOP and prototypes are part of your JavaScript.
Unit tests and code reviews are part of your product delivery
Must be familiar with profiling/performance tuning and capacity management
Agile development experience - Daily-standups, sprint, retrospectives, kanban, and pair-programming are old-hat to you.
Ability to work both independently with little direct supervision and in a collaborative environment
A Bachelor’s Degree or higher, in Computer Science, Mathematics,Statistics, Engineering or equivalent, is required.
Preferred Qualifications:
MongoDB or other NoSQL databases
Experience with Jersey web services a plus
Familiarity with data visualization technologies are a plus
Understanding of design patterns and programming by contract are a plus
Technologies:
Languages/Architecture: Java, JavaScript, SQL, Python
Technology: RESTful Web Services, Spring DI, jQuery, Ajax, JSP, AWS
Internet: React, JavaScript, JSon, SSL
NoSQL: MongoDB
Tools: Eclipse or Idea, Jenkins/Hudson, Maven, Git
THIS ROLE MAY REQUIRE NIGHT AND WEEKEND HOURS.

Brightfield is an equal opportunity employer. We are committed to a work environment that supports and respects all individuals and in which recruiting processes are applied without discrimination on the basis of race, color, religion, sex, sexual orientation, gender identity, marital status, age, disability, national or ethnic origin, military service status, citizenship, or other protected characteristic."
JavaScript Developer,"We are looking for a senior software engineer to join our product development team in Hyderabad, India building a modern web UI platform. Our team is responsible for the development of a core framework central to the evolution of MATLAB, Simulink, and our other products. You will work with a group of forward thinking, cross-functional engineers to deliver well-crafted, high quality user interface components. In this position, you will help set product technology direction, and will guide and influence collaborating teams.
Strong software engineering skills with industry experience delivering commercial software
Apply your deep understanding of JavaScript and CSS to lead the design, architecture and implementation of reusable UI components in a multi-device, modern web UI framework
Create well-designed, consistent, and comprehensive APIs
Design and evolve our CSS codebase using modular development patterns (BEM, OOCSS, etc.), and CSS preprocessors
Design and develop tests for web UI code using various testing frameworks (QUnit, FuncUnit, Jasmine, Mocha, etc.) to deliver high quality, well tested solutions
A passion for quality and delivering testable, and well tested, solutions
Lead cross functional project teams to deliver features in a fast paced Agile environment
Prepare and present design specifications to colleagues
Mentor and assist engineers on the team
Experience with the design and development of reusable components that are used by other groups or teams
Web application system architecture design experience (full stack architecture)
Excellent design skills, familiarity with Agile development practices, continuous integration, continuous delivery and automated testing
Some experience with Web Components, WebWorkers, EcmaScript 2016, WebSockets
Experience with package management systems (npm, Maven, etc.)
Experience with JavaScript
Experience with CSS
Experience with HTML
A bachelor's degree and 7 years of professional work experience (or a master's degree and 5 years of professional work experience, or a PhD degree, or equivalent experience) is required."
iOS Developer,"Position: iOS Developer

Experience: 2 - 4 Years

Location: Hyderabad

Design and build applications for the iOS platform

Ensure the performance, quality, and responsiveness of applications

Collaborate with a team to define, design, and ship new features

Identify and correct bottlenecks and fix bugs
Proficient with Objective-C, Xcode, and Cocoa Touch*
Knowledge of iOS frameworks such as Core Data, Core Animation, etc

Knowledge of other web technologies and UI/UX standards.

Understanding of Apple’s design principles and interface guidelines.

Knowledge of low-level C-based libraries is preferred.

Familiarity with cloud message APIs and push notifications.

Proficient understanding of code versioning tools such as SVN.

Familiarity with continuous integration.

Job Type: Full-time

Salary: ₹238,313.00 - ₹1,163,949.00 per year

Schedule:
Day shift
Morning shift
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
iOS: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Objective-C (Preferred)"
PHP Developer,"Teamwork php back end development, maintenance, and constant improvement.
Write clean, scalable code.
Solid PHP experience (3+ years)
Strong object oriented and MVC architecture
Back end expertise
PHP framework experience (any)
MySQL Experience
Git Experience
Job Type: Full-time

Experience:
MySQL, Git: 2 years (Required)
PHP with MVC architecture: 3 years (Required)
Education:
Bachelor's (Required)
Location:
Vadodara, Gujarat (Required)
Licence:
Core PHP (Preferred)
Programming Languages needed:
PHP (Preferred)
Work Remotely:
No"
Machine Learning,"As a Data Scientist at Noodle.ai, you will collaborate with our Enterprise Services team,Software Engineers, Designers, and industry-specific experts from our customers. You willvbuild a deep understanding of the business problems our customers are tackling and then develop, test, and deploy advanced machine learning algorithms. As we grow, you will also develop reusable IP to help us move faster, dive deeper, and work more efficiently by generalizing the algorithms, methodologies, and supporting infrastructure that you build. As one of the early hires to join the Noodle.ai team, you will have a significant impact on the future of Enterprise Artificial Intelligence.

Job responsibilities:

Implement a breadth of different modeling approaches/ techniques in machine learning
Manipulate and prepare large, heterogeneous data sets to support advanced analytics
Iteratively conceptualize, design and build data-driven analytical models
Develop processes and tools to monitor and analyze model performance and data accuracy
Translate deep mathematical concepts and practices into language that non-experts can understand and build upon. And conversely, translate business needs and user needs into language and concepts that other data scientists can understand and work with.
Productionalizing machine learning code and interfacing with industry standardmsoftware systems
Understand and manipulate unstructured data from different platforms.
Demonstrate proficiency at real-world modeling problems/DS problems - getting to a result that demonstrably generate business value

Qualifications:
Required:

Graduate degree in a relevant field (Computer Science, Operations Research, Statistics, Applied Math...) or Bachelors degree and 2-4 years applying advanced AI techniques to real-world problems

Good to have:

4 years of experience applying advanced AI techniques to real-world problems
Experience tackling data science problems characterized as high-dimension, low sample size (i.e., lots of potentially predictive features and highly diverse but low quality or highly sparse data.)
Knowledge & understanding of a functional area of focus (i.e. Experience applying advanced analytics to supply chain optimization, demand forecasting, and/or revenue management)
Knowledge & understanding of an industry area of focus (i.e. retail, manufacturing,CPG, 3PL, travel...)

Skills and Competencies:

Experience with common analysis tools (SQL, R, and Python).
Demonstrable familiarity with code and programming concepts.
Knowledge of Spark and/or Hadoop
Knowledge of machine learning areas and techniques - Supervised machine learning,Unsupervised machine learning, Time series, Natural language processing, Outlier detection, Computer vision, Recommendation engines, Survival analysis,
Reinforcement learning, and Adversarial learning
Knowledge of data visualization tools - ggplot, d3.js and Matplottlib, and Tableau
Strong problem solving skills with an emphasis on product development
Focus on delivering value and building lasting relationships through collaboration in an open and respectful working style
Passion for learning and a desire to grow"
